Actual,Linear Regression,Decision Tree,Random Forest,SVM,Gradient Boosting
3.0,-0.29541953515337194,0.0,1.0872142857142857,0.23882789669262294,0.22763600405765344
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
28.0,24.703587942954783,8.0,11.31,1.047052660378208,10.777669543643164
1.0,4.701179949569809,1.0,2.1088333333333336,0.151692063314405,1.9972810945562305
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
6.0,7.259847806136531,9.0,8.04,0.3101245524189835,9.67294745016903
0.0,0.9235462789248581,0.018867924528301886,0.018694130682345857,0.11682990837412621,0.07661330938268805
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
171.0,-3.9493792943769677,85.0,73.67,6.017248488130009,76.37795913966065
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
5.0,9.035933440294869,11.0,14.035,0.5149397690814848,20.17838393798024
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
0.0,2.44361824327597,0.4,0.4097936507936509,0.11706321161106104,0.2689399747585213
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
0.0,2.052327132071778,0.0,0.16127380952380954,0.13393039020414932,0.0829331581110321
21.0,9.863608143168907,9.0,13.475,0.40210072266176144,24.853228171190967
1.0,5.0473785803083455,3.0,4.66,0.20338847699342466,5.641214770686338
0.0,1.2697449096633948,0.0,0.36721428571428577,0.16819554764239353,0.3362985330626115
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
0.0,2.44361824327597,0.4,0.4097936507936509,0.11706321161106104,0.2689399747585213
2.0,2.789816874014506,1.0,0.97,0.16827969466662562,1.4405497937298262
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
109.0,108.8065009503992,78.0,66.06,5.174032134608922,73.8260699954204
9.0,-18.866471683613,9.0,32.16,1.6466353914757406,50.661167868594646
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
13.0,5.5594059199228,25.0,23.885,0.613781770710121,22.064060247876203
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
2.0,11.729878738258554,9.0,12.4,0.4586264400092013,24.853228171190967
2.0,-49.598099546881514,0.0,39.12,3.5135892537537994,46.44363650411997
0.0,3.5723990964228896,0.0,0.6283571428571428,0.13429417212064187,0.9508141082274048
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
2.0,2.308340801879005,5.0,6.06,0.328352313478379,-0.9334343560747633
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
0.0,1.3148373901290498,0.018867924528301886,0.019655669143884322,0.09999998613018057,0.07661330938268805
